,,20~39세,20~39세,20~39세,65세이상,65세이상,65세이상,총합,총합,총합,소멸비율,소멸위기지역
인구수,,남자,여자,합계,남자,여자,합계,남자,여자,합계,,
광역시도,시도,,,,,,,,,,,
경상남도,의령군,2170,1560,3730,3786,5746,9533,12499,12826,25325,0.32728417077520194,True
경상남도,의창구,31163,25590,56753,13762,17133,30895,110377,106538,216915,1.6565787344230458,False
경상남도,진주시,49295,42410,91705,25497,35505,61002,175897,177492,353389,1.3904462148782006,False
경상남도,진해구,25604,20534,46138,12751,16310,29062,99087,93278,192365,1.4131167848048998,False
경상남도,창녕군,6201,4204,10405,7633,11084,18718,30056,29608,59664,0.44919328988139756,True
경상남도,창원시,141559,115331,256890,70241,88539,158780,521016,504686,1025702,1.4527144476634337,False
경상남도,통영시,14434,10205,24639,11037,14437,25474,64225,60604,124829,0.8012090759205465,True
경상남도,하동군,2903,2141,5044,6030,8720,14753,19848,20319,40167,0.29024605165051176,True
경상남도,함안군,7598,4605,12203,6780,9323,16104,33146,30087,63233,0.5719076005961252,True
경상남도,함양군,2726,2158,4884,5108,7787,12896,17704,18837,36541,0.3346774193548387,True
경상남도,합천군,2917,2040,4957,6514,10123,16638,19661,20981,40642,0.24522178146411827,True
경상북도,경산시,47767,40832,88599,20222,27223,47447,147723,145695,293418,1.721162560330474,False
경상북도,경주시,34102,26035,60137,24317,33538,57859,132338,128764,261102,0.899946421472891,True
경상북도,고령군,3363,1943,5306,4101,5488,9589,15899,14500,30399,0.40525602252581083,True
경상북도,구미시,66462,53410,119872,18410,24167,42578,213736,200227,413963,2.5088073653060268,False
경상북도,군위군,1673,998,2671,3915,5023,8942,10929,10356,21285,0.22321628271080296,True
경상북도,김천시,16127,13355,29482,13653,19196,32850,69158,68804,137962,0.813089802130898,True
경상북도,남구,30866,21977,52843,19169,22962,42132,119399,109470,228869,1.043245039399981,False
경상북도,문경시,5830,4858,10688,8846,12556,21406,33175,34494,67669,0.4538914323086985,True
경상북도,봉화군,1802,1418,3220,4876,6420,11297,14479,14689,29168,0.251040099141365,True
경상북도,북구,33467,28618,62085,22402,28613,51017,135083,137299,272382,1.1219005429562694,False
경상북도,상주시,8749,6494,15243,12226,17869,30096,46229,47493,93722,0.4315523657628921,True
경상북도,성주군,4268,2600,6868,5872,7705,13578,21194,19610,40804,0.38297245544262776,True
경상북도,안동시,17708,15786,33494,16751,22799,39550,78040,80024,158064,0.7982806573957016,True
경상북도,영덕군,2801,1797,4598,5146,8020,13167,16428,17499,33927,0.27295511506037823,True
경상북도,영양군,1046,890,1936,2553,3525,6079,7682,7876,15558,0.29281131765092944,True
경상북도,영주시,10328,8334,18662,12190,16430,28620,50831,51583,102414,0.5823899371069182,True
경상북도,영천시,11787,8093,19880,12176,16317,28497,51049,48810,99859,0.5679896129417131,True
경상북도,예천군,4809,4298,9107,6985,9740,16726,26493,27774,54267,0.5139304077484156,True
경상북도,울릉군,985,536,1521,988,1157,2149,4513,3656,8169,0.4988366682177757,True
경상북도,울진군,5298,3099,8397,5358,7976,13334,24041,22328,46369,0.4648267586620669,True
경상북도,의성군,3228,2387,5615,8642,12313,20956,23299,24722,48021,0.22781065088757396,True
경상북도,청도군,3045,2489,5534,6485,8935,15420,19376,20695,40071,0.32282749675745787,True
경상북도,청송군,1726,1203,2929,3896,5248,9149,11577,11711,23288,0.2629795606077167,True
경상북도,칠곡군,15770,11844,27614,7784,10880,18665,59705,54859,114564,1.2691133136887223,False
경상북도,포항시,64333,50595,114928,41571,51575,93149,254482,246769,501251,1.086324061449935,False
광주광역시,광산구,64283,58183,122466,16958,23938,40899,213977,208781,422758,2.845204039218563,False
광주광역시,남구,26713,26764,53477,17004,22423,39429,103912,112354,216266,1.357579446600218,False
광주광역시,동구,16841,15436,32277,10088,13112,23200,53901,54775,108676,1.3306896551724139,False
광주광역시,북구,63711,58490,122201,29958,38819,68777,217227,219770,436997,1.7008592988935254,False
광주광역시,서구,39670,38237,77907,19254,24757,44012,143071,147494,290565,1.737571571389621,False
대구광역시,남구,19579,18957,38536,14393,20593,34989,69140,75758,144898,1.0835977021349568,False
대구광역시,달서구,77612,68968,146580,36792,47483,84279,274424,280278,554702,1.6366591914949158,False
대구광역시,달성군,39180,32757,71937,15341,19875,35218,134809,130045,264854,1.8602419217445625,False
대구광역시,동구,42961,38406,81367,29240,39839,69079,162891,169746,332637,1.1119442956614891,False
대구광역시,북구,65018,56843,121861,28536,38527,67064,221221,223225,444446,1.6951866873434331,False
대구광역시,서구,21122,16602,37724,16737,23218,39956,82384,83071,165455,0.8310141155270798,True
대구광역시,수성구,46450,43723,90173,29303,38975,68278,197716,210369,408085,1.2807346436626732,False
